Field name,Description
boys_16_c11,Enrolment by Age and Class Higher Secondary:  16 Yrs-Class 11 - Boys
girls_16_c11,Enrolment by Age and Class Higher Secondary:  16 Yrs-Class 11 - Girls
boys_16_c12,Enrolment by Age and Class Higher Secondary:  16 Yrs-Class 12 - Boys
girls_16_c12,Enrolment by Age and Class Higher Secondary:  16 Yrs-Class 12 - Girls
boys_17_c11,Enrolment by Age and Class Higher Secondary:  17 Yrs-Class 11 - Boys
girls_17_c11,Enrolment by Age and Class Higher Secondary:  17 Yrs-Class 11 - Girls
boys_17_c12,Enrolment by Age and Class Higher Secondary:  17 Yrs-Class 12 - Boys
girls_17_c12,Enrolment by Age and Class Higher Secondary:  17 Yrs-Class 12 - Girls
boys_a17_c11,Enrolment by Age and Class Higher Secondary:  Above 17 Yrs-Class 11 - Boys
girls_a17_c11,Enrolment by Age and Class Higher Secondary:  Above 17 Yrs-Class 11 - Girls
boys_a17_c12,Enrolment by Age and Class Higher Secondary:  Above 17 Yrs-Class 12 - Boys
girls_a17_c12,Enrolment by Age and Class Higher Secondary:  Above 17 Yrs-Class 12 - Girls
apr_b_gen_py10,Examination Result Secondary: Number of students Appeared in Previous Year-General - Boys
apr_g_gen_py10,Examination Result Secondary: Number of students Appeared in Previous Year-General - Girls
apr_b_sc_py10,Examination Result Secondary: Number of students Appeared in Previous Year-SC - Boys
apr_g_sc_py10,Examination Result Secondary: Number of students Appeared in Previous Year-SC - Girls
apr_b_st_py10,Examination Result Secondary: Number of students Appeared in Previous Year-ST - Boys
apr_g_st_py10,Examination Result Secondary: Number of students Appeared in Previous Year-ST - Girls
apr_b_obc_py10,Examination Result Secondary: Number of students Appeared in Previous Year-OBC - Boys
apr_g_obc_py10,Examination Result Secondary: Number of students Appeared in Previous Year-OBC - Girls
pass_b_gen_py10,Examination Result Secondary: Number of students Passed in Previous Year-General - Boys
pass_g_gen_py10,Examination Result Secondary: Number of students Passed in Previous Year-General - Girls
pass_b_sc_py10,Examination Result Secondary: Number of students Passed in Previous Year-SC - Boys
pass_g_sc_py10,Examination Result Secondary: Number of students Passed in Previous Year-SC - Girls
pass_b_st_py10,Examination Result Secondary: Number of students Passed in Previous Year-ST - Boys
pass_g_st_py10,Examination Result Secondary: Number of students Passed in Previous Year-ST - Girls
pass_b_obc_py10,Examination Result Secondary: Number of students Passed in Previous Year-OBC - Boys
pass_g_obc_py10,Examination Result Secondary: Number of students Passed in Previous Year-OBC - Girls
arts_c11_b,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 11 Boys - Arts
sci_c11_b,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 11 Boys - Science
com_c11_b,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 11 Boys - Commerce
voc_c11_b,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 11 Boys - Vocational
oth_c11_b,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 11 Boys - Others
arts_c11_g,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 11 Girls - Arts
sci_c11_g,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 11 Girls - Science
com_c11_g,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 11 Girls - Commerce
voc_c11_g,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 11 Girls - Vocational
oth_c11_g,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 11 Girls - Others
arts_c12_b,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 12 Boys - Arts
sci_c12_b,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 12 Boys - Science
com_c12_b,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 12 Boys - Commerce
voc_c12_b,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 12 Boys - Vocational
oth_c12_b,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 12 Boys - Others
arts_c12_g,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 12 Girls - Arts
sci_c12_g,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 12 Girls - Science
com_c12_g,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 12 Girls - Commerce
voc_c12_g,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 12 Girls - Vocational
oth_c12_g,Enrolment By Stream and Grade: Enrolment By Stream and Grade-Class 12 Girls - Others
apr_arts_gen_b,Examination Results by Stream: Arts-Number of Students Appeared - Boys 
apr_arts_gen_g,Examination Results by Stream: Arts-Number of Students Appeared - Girls
apr_arts_sc_b,Examination Results by Stream: Arts-Number of Students Appeared - Boys 
apr_arts_sc_g,Examination Results by Stream: Arts-Number of Students Appeared - Girls
apr_arts_st_b,Examination Results by Stream: Arts-Number of Students Appeared - Boys 
apr_arts_st_g,Examination Results by Stream: Arts-Number of Students Appeared - Girls
apr_arts_obc_b,Examination Results by Stream: Arts-Number of Students Appeared - Boys 
apr_arts_obc_g,Examination Results by Stream: Arts-Number of Students Appeared - Girls
pass_arts_gen_b,Examination Results by Stream: Arts-Number of Students Passed - Boys 
pass_arts_gen_g,Examination Results by Stream: Arts-Number of Students Passed - Girls
pass_arts_sc_b,Examination Results by Stream: Arts-Number of Students Passed - Boys 
pass_arts_sc_g,Examination Results by Stream: Arts-Number of Students Passed - Girls
pass_arts_st_b,Examination Results by Stream: Arts-Number of Students Passed - Boys 
pass_arts_st_g,Examination Results by Stream: Arts-Number of Students Passed - Girls
pass_arts_obc_b,Examination Results by Stream: Arts-Number of Students Passed - Boys 
pass_arts_obc_g,Examination Results by Stream: Arts-Number of Students Passed - Girls
apr_sci_gen_b,Examination Results by Stream: Science-Number of Students Appeared - Boys 
apr_sci_gen_g,Examination Results by Stream: Science-Number of Students Appeared - Girls
apr_sci_sc_b,Examination Results by Stream: Science-Number of Students Appeared - Boys 
apr_sci_sc_g,Examination Results by Stream: Science-Number of Students Appeared - Girls
apr_sci_st_b,Examination Results by Stream: Science-Number of Students Appeared - Boys 
apr_sci_st_g,Examination Results by Stream: Science-Number of Students Appeared - Girls
apr_sci_obc_b,Examination Results by Stream: Science-Number of Students Appeared - Boys 
apr_sci_obc_g,Examination Results by Stream: Science-Number of Students Appeared - Girls
pass_sci_gen_b,Examination Results by Stream: Science-Number of Students Passed - Boys 
pass_sci_gen_g,Examination Results by Stream: Science-Number of Students Passed - Girls
pass_sci_sc_b,Examination Results by Stream: Science-Number of Students Passed - Boys 
pass_sci_sc_g,Examination Results by Stream: Science-Number of Students Passed - Girls
pass_sci_st_b,Examination Results by Stream: Science-Number of Students Passed - Boys 
pass_sci_st_g,Examination Results by Stream: Science-Number of Students Passed - Girls
pass_sci_obc_b,Examination Results by Stream: Science-Number of Students Passed - Boys 
pass_sci_obc_g,Examination Results by Stream: Science-Number of Students Passed - Girls
apr_com_gen_b,Examination Results by Stream: Commerce-Number of Students Appeared - Boys 
apr_com_gen_g,Examination Results by Stream: Commerce-Number of Students Appeared - Girls
apr_com_sc_b,Examination Results by Stream: Commerce-Number of Students Appeared - Boys 
apr_com_sc_g,Examination Results by Stream: Commerce-Number of Students Appeared - Girls
apr_com_st_b,Examination Results by Stream: Commerce-Number of Students Appeared - Boys 
apr_com_st_g,Examination Results by Stream: Commerce-Number of Students Appeared - Girls
apr_com_obc_b,Examination Results by Stream: Commerce-Number of Students Appeared - Boys 
apr_com_obc_g,Examination Results by Stream: Commerce-Number of Students Appeared - Girls
pass_com_gen_b,Examination Results by Stream: Commerce-Number of Students Passed - Boys 
pass_com_gen_g,Examination Results by Stream: Commerce-Number of Students Passed - Girls
pass_com_sc_b,Examination Results by Stream: Commerce-Number of Students Passed - Boys 
pass_com_sc_g,Examination Results by Stream: Commerce-Number of Students Passed - Girls
pass_com_st_b,Examination Results by Stream: Commerce-Number of Students Passed - Boys 
pass_com_st_g,Examination Results by Stream: Commerce-Number of Students Passed - Girls
pass_com_obc_b,Examination Results by Stream: Commerce-Number of Students Passed - Boys 
pass_com_obc_g,Examination Results by Stream: Commerce-Number of Students Passed - Girls
apr_voc_gen_b,Examination Results by Stream: Vocational -Number of Students Appeared - Boys 
apr_voc_gen_g,Examination Results by Stream: Vocational -Number of Students Appeared - Girls
apr_voc_sc_b,Examination Results by Stream: Vocational -Number of Students Appeared - Boys 
apr_voc_sc_g,Examination Results by Stream: Vocational -Number of Students Appeared - Girls
apr_voc_st_b,Examination Results by Stream: Vocational -Number of Students Appeared - Boys 
apr_voc_st_g,Examination Results by Stream: Vocational -Number of Students Appeared - Girls
apr_voc_obc_b,Examination Results by Stream: Vocational -Number of Students Appeared - Boys 
apr_voc_obc_g,Examination Results by Stream: Vocational -Number of Students Appeared - Girls
pass_voc_gen_b,Examination Results by Stream: Vocational -Number of Students Passed - Boys 
pass_voc_gen_g,Examination Results by Stream: Vocational -Number of Students Passed - Girls
pass_voc_sc_b,Examination Results by Stream: Vocational -Number of Students Passed - Boys 
pass_voc_sc_g,Examination Results by Stream: Vocational -Number of Students Passed - Girls
pass_voc_st_b,Examination Results by Stream: Vocational -Number of Students Passed - Boys 
pass_voc_st_g,Examination Results by Stream: Vocational -Number of Students Passed - Girls
pass_voc_obc_b,Examination Results by Stream: Vocational -Number of Students Passed - Boys 
pass_voc_obc_g,Examination Results by Stream: Vocational -Number of Students Passed - Girls
apr_oth_gen_b,Examination Results by Stream: Other-Number of Students Appeared - Boys 
apr_oth_gen_g,Examination Results by Stream: Other-Number of Students Appeared - Girls
apr_oth_sc_b,Examination Results by Stream: Other-Number of Students Appeared - Boys 
apr_oth_sc_g,Examination Results by Stream: Other-Number of Students Appeared - Girls
apr_oth_st_b,Examination Results by Stream: Other-Number of Students Appeared - Boys 
apr_oth_st_g,Examination Results by Stream: Other-Number of Students Appeared - Girls
apr_oth_obc_b,Examination Results by Stream: Other-Number of Students Appeared - Boys 
apr_oth_obc_g,Examination Results by Stream: Other-Number of Students Appeared - Girls
pass_oth_gen_b,Examination Results by Stream: Other-Number of Students Passed - Boys 
pass_oth_gen_g,Examination Results by Stream: Other-Number of Students Passed - Girls
pass_oth_sc_b,Examination Results by Stream: Other-Number of Students Passed - Boys 
pass_oth_sc_g,Examination Results by Stream: Other-Number of Students Passed - Girls
pass_oth_st_b,Examination Results by Stream: Other-Number of Students Passed - Boys 
pass_oth_st_g,Examination Results by Stream: Other-Number of Students Passed - Girls
pass_oth_obc_b,Examination Results by Stream: Other-Number of Students Passed - Boys 
pass_oth_obc_g,Examination Results by Stream: Other-Number of Students Passed - Girls
tchug_r_m,Teachers by Educational Qualification: Regular teachers-Male - Below Graduate
tchgrad_r_m,Teachers by Educational Qualification: Regular teachers-Male - Graduate
tchpg_r_m,Teachers by Educational Qualification: Regular teachers-Male - Post Graduate
tchphd_r_m,Teachers by Educational Qualification: Regular teachers-Male - PhD
tchpd_r_m,Teachers by Educational Qualification: Regular teachers-Male - Post-Doctoral
tchnr_r_m,Teachers by Educational Qualification: Regular teachers-Male - No Response/ None
tchug_r_f,Teachers by Educational Qualification: Regular teachers-Female - Below Graduate
tchgrad_r_f,Teachers by Educational Qualification: Regular teachers-Female - Graduate
tchpg_r_f,Teachers by Educational Qualification: Regular teachers-Female - Post Graduate
tchphd_r_f,Teachers by Educational Qualification: Regular teachers-Female - PhD
tchpd_r_f,Teachers by Educational Qualification: Regular teachers-Female - Post-Doctoral
tchnr_r_f,Teachers by Educational Qualification: Regular teachers-Female - No Response/ None
tchug_r_nr,Teachers by Educational Qualification: Regular teachers-No Response in Gender - Below Graduate
tchgrad_r_nr,Teachers by Educational Qualification: Regular teachers-No Response in Gender - Graduate
tchpg_r_nr,Teachers by Educational Qualification: Regular teachers-No Response in Gender - Post Graduate
tchphd_r_nr,Teachers by Educational Qualification: Regular teachers-No Response in Gender - PhD
tchpd_r_nr,Teachers by Educational Qualification: Regular teachers-No Response in Gender - Post-Doctoral
tchnr_r_nr,Teachers by Educational Qualification: Regular teachers-No Response in Gender - No Response/ None
tchug_p_m,Teachers by Educational Qualification: Contractual Teachers-Male - Below Graduate
tchgrad_p_m,Teachers by Educational Qualification: Contractual Teachers-Male - Graduate
tchpg_p_m,Teachers by Educational Qualification: Contractual Teachers-Male - Post Graduate
tchphd_p_m,Teachers by Educational Qualification: Contractual Teachers-Male - PhD
tchpd_p_m,Teachers by Educational Qualification: Contractual Teachers-Male - Post-Doctoral
tchnr_p_m,Teachers by Educational Qualification: Contractual Teachers-Male - No Response/ None
tchug_p_f,Teachers by Educational Qualification: Contractual Teachers-Female - Below Graduate
tchgrad_p_f,Teachers by Educational Qualification: Contractual Teachers-Female - Graduate
tchpg_p_f,Teachers by Educational Qualification: Contractual Teachers-Female - Post Graduate
tchphd_p_f,Teachers by Educational Qualification: Contractual Teachers-Female - PhD
tchpd_p_f,Teachers by Educational Qualification: Contractual Teachers-Female - Post-Doctoral
tchnr_p_f,Teachers by Educational Qualification: Contractual Teachers-Female - No Response/ None
tchug_p_nr,Teachers by Educational Qualification: Contractual Teachers-No Response in Gender - Below Graduate
tchgrad_p_nr,Teachers by Educational Qualification: Contractual Teachers-No Response in Gender - Graduate
tchpg_p_nr,Teachers by Educational Qualification: Contractual Teachers-No Response in Gender - Post Graduate
tchphd_p_nr,Teachers by Educational Qualification: Contractual Teachers-No Response in Gender - PhD
tchpd_p_nr,Teachers by Educational Qualification: Contractual Teachers-No Response in Gender - Post-Doctoral
tchnr_p_nr,Teachers by Educational Qualification: Contractual Teachers-No Response in Gender - No Response/ None
tchbtt_m,Teachers by Professional Qualification: Male-2 Years Basic Teacher Training - 2 Years Basic Teacher Training
tchbed_m,Teachers by Professional Qualification: Male-B. Ed/ B. El. Ed - B. Ed/ B. El. Ed
tchmed_m,Teachers by Professional Qualification: Male-M. Ed. - M. Ed.
tchoth_m,Teachers by Professional Qualification: Male-Other - Other
tchse_m,Teachers by Professional Qualification: Male-Diploma/ Degree in Special Education - Diploma/ Degree in Special Education
tchnr_m,Teachers by Professional Qualification: Male-No Response / None - No Response / None
tchbtt_f,Teachers by Professional Qualification: Female-B. Ed/ B. El. Ed - B. Ed/ B. El. Ed
tchbed_f,Teachers by Professional Qualification: Female-M. Ed. - M. Ed.
tchmed_f,Teachers by Professional Qualification: Female-Other - Other
tchoth_f,Teachers by Professional Qualification: Female-Diploma/ Degree in Special Education - Diploma/ Degree in Special Education
tchse_f,Teachers by Professional Qualification: Female-No Response / None - No Response / None
tchnr_f,Teachers by Professional Qualification: Female-B. Ed/ B. El. Ed - B. Ed/ B. El. Ed
tchbtt_nr,Teachers by Professional Qualification: No Response in Gender-B. Ed/ B. El. Ed - B. Ed/ B. El. Ed
tchbed_nr,Teachers by Professional Qualification: No Response in Gender-M. Ed. - M. Ed.
tchmed_nr,Teachers by Professional Qualification: No Response in Gender-Other - Other
tchoth_nr,Teachers by Professional Qualification: No Response in Gender-Diploma/ Degree in Special Education - Diploma/ Degree in Special Education
tchse_nr,Teachers by Professional Qualification: No Response in Gender-No Response / None - No Response / None
tchnr_nr,Teachers by Professional Qualification: No Response in Gender-B. Ed/ B. El. Ed - B. Ed/ B. El. Ed
enrc7_py,Enrolment in Previous Year by Grade: Class 7-Class 7 - Class 7
enrc8_py,Enrolment in Previous Year by Grade: Class 8-Class 8 - Class 8
enrc9_py,Enrolment in Previous Year by Grade: Class 9-Class 9 - Class 9
enrc10_py,Enrolment in Previous Year by Grade: Class 10-Class 10 - Class 10
enr11_py,Enrolment in Previous Year by Grade: Class 11-Class 11 - Class 11
enr12_py,Enrolment in Previous Year by Grade: Class 12-Class 12 - Class 12
