Field name,Description
TCH_TRNRM6,Teachers Received in-service Training - Male: Primary with upper Primary Sec
TCH_TRNRM7,Teachers Received in-service Training - Male: Upper Primary with  Sec.
TCH_TRNRF1,Teachers Received in-service Training - Female: Primary Only
TCH_TRNRF2,Teachers Received in-service Training - Female: Primary with Upper Primary
TCH_TRNRF3,Teachers Received in-service Training - Female: Primary with upper Primary Sec/H.Sec
TCH_TRNRF4,Teachers Received in-service Training - Female: Upper Primary Only
TCH_TRNRF5,Teachers Received in-service Training - Female: Upper Primary with Sec./H.Sec
TCH_TRNRF6,Teachers Received in-service Training - Female: Primary with upper Primary Sec
TCH_TRNRF7,Teachers Received in-service Training - Female: Upper Primary with  Sec.
C1_B,Enrolment By Grade: Boys - Grade 1
C2_B,Enrolment By Grade: Boys - Grade 2
C3_B,Enrolment By Grade: Boys - Grade 3
C4_B,Enrolment By Grade: Boys - Grade 4
C5_B,Enrolment By Grade: Boys - Grade 5
C6_B,Enrolment By Grade: Boys - Grade 6
C7_B,Enrolment By Grade: Boys - Grade 7
C8_B,Enrolment By Grade: Boys - Grade 8
C9_B,Enrolment By Grade: Boys - Grade 9
C1_G,Enrolment By Grade: Girls - Grade 1
C2_G,Enrolment By Grade: Girls - Grade 2
C3_G,Enrolment By Grade: Girls - Grade 3
C4_G,Enrolment By Grade: Girls - Grade 4
C5_G,Enrolment By Grade: Girls - Grade 5
C6_G,Enrolment By Grade: Girls - Grade 6
C7_G,Enrolment By Grade: Girls - Grade 7
C8_G,Enrolment By Grade: Girls - Grade 8
C9_G,Enrolment By Grade: Girls - Grade 9
C15A,Enrolment by level: Primary - Primary
C68A,Enrolment by level: Upper Primary - Upper Primary
C1_BD,Children with Special Needs: Boys - Grade 1
C2_BD,Children with Special Needs: Boys - Grade 2
C3_BD,Children with Special Needs: Boys - Grade 3
C4_BD,Children with Special Needs: Boys - Grade 4
C5_BD,Children with Special Needs: Boys - Grade 5
C6_BD,Children with Special Needs: Boys - Grade 6
C7_BD,Children with Special Needs: Boys - Grade 7
C8_BD,Children with Special Needs: Boys - Grade 8
C1_GD,Children with Special Needs: Girls - Grade 1
C2_GD,Children with Special Needs: Girls - Grade 2
C3_GD,Children with Special Needs: Girls - Grade 3
C4_GD,Children with Special Needs: Girls - Grade 4
C5_GD,Children with Special Needs: Girls - Grade 5
C6_GD,Children with Special Needs: Girls - Grade 6
C7_GD,Children with Special Needs: Girls - Grade 7
C8_GD,Children with Special Needs: Girls - Grade 8
C1_BR,Repeaters By Grade: Boys - Grade 1
C2_BR,Repeaters By Grade: Boys - Grade 2
C3_BR,Repeaters By Grade: Boys - Grade 3
C4_BR,Repeaters By Grade: Boys - Grade 4
C5_BR,Repeaters By Grade: Boys - Grade 5
C6_BR,Repeaters By Grade: Boys - Grade 6
C7_BR,Repeaters By Grade: Boys - Grade 7
C8_BR,Repeaters By Grade: Boys - Grade 8
C9_BR,Repeaters By Grade: Boys - Grade 9
C1_GR,Repeaters By Grade: Girls - Grade 1
C2_GR,Repeaters By Grade: Girls - Grade 2
C3_GR,Repeaters By Grade: Girls - Grade 3
C4_GR,Repeaters By Grade: Girls - Grade 4
C5_GR,Repeaters By Grade: Girls - Grade 5
C6_GR,Repeaters By Grade: Girls - Grade 6
C7_GR,Repeaters By Grade: Girls - Grade 7
C8_GR,Repeaters By Grade: Girls - Grade 8
C9_GR,Repeaters By Grade: Girls - Grade 9
SCPTOT,SC Enrolment: Primary - Total
SCPTOT_G,SC Enrolment: Primary - Girls
SCUTOT,SC Enrolment: Upper Primary - Total
SCUTOT_G,SC Enrolment: Upper Primary - Girls
STPTOT,ST Enrolment: Primary - Total
STPTOT_G,ST Enrolment: Primary - Girls
STUTOT,ST Enrolment: Upper Primary - Total
STUTOT_G,ST Enrolment: Upper Primary - Girls
OBPTOT,OBC Enrolment: Primary - Total
OBUTOT,OBC Enrolment: Primary - Girls
OBPTOT_G,OBC Enrolment: Upper Primary - Total
OBUTOT_G,OBC Enrolment: Upper Primary - Girls
MUPTOT,Muslim Enrolment: Primary - Total
MUUTOT,Muslim Enrolment: Primary - Girls
MUPTOT_G,Muslim Enrolment: Upper Primary - Total
MUUTOT_G,Muslim Enrolment: Upper Primary - Girls
BLC1,CWSN Enrolment by Nature of Disability: Grade 1 - Blind
LVC1,CWSN Enrolment by Nature of Disability: Grade 1 - Low vision
HEC1,CWSN Enrolment by Nature of Disability: Grade 1 - Hearing Impairment
SPC1,CWSN Enrolment by Nature of Disability: Grade 1 - Speech Impairment
LOC1,CWSN Enrolment by Nature of Disability: Grade 1 - Locomotor Impairment
MEC1,CWSN Enrolment by Nature of Disability: Grade 1 - Mental Retardation
LEC1,CWSN Enrolment by Nature of Disability: Grade 1 - Learning Disability
CPC1,CWSN Enrolment by Nature of Disability: Grade 1 - Cerebral Palsy
AUC1,CWSN Enrolment by Nature of Disability: Grade 1 - Autism
MUC1,CWSN Enrolment by Nature of Disability: Grade 1 - Multiple
BLC2,CWSN Enrolment by Nature of Disability: Grade 2 - Blind
LVC2,CWSN Enrolment by Nature of Disability: Grade 2 - Low vision
HEC2,CWSN Enrolment by Nature of Disability: Grade 2 - Hearing Impairment
SPC2,CWSN Enrolment by Nature of Disability: Grade 2 - Speech Impairment
LOC2,CWSN Enrolment by Nature of Disability: Grade 2 - Locomotor Impairment
MEC2,CWSN Enrolment by Nature of Disability: Grade 2 - Mental Retardation
LEC2,CWSN Enrolment by Nature of Disability: Grade 2 - Learning Disability
CPC2,CWSN Enrolment by Nature of Disability: Grade 2 - Cerebral Palsy
AUC2,CWSN Enrolment by Nature of Disability: Grade 2 - Autism
MUC2,CWSN Enrolment by Nature of Disability: Grade 2 - Multiple
BLC3,CWSN Enrolment by Nature of Disability: Grade 3 - Blind
LVC3,CWSN Enrolment by Nature of Disability: Grade 3 - Low vision
HEC3,CWSN Enrolment by Nature of Disability: Grade 3 - Hearing Impairment
SPC3,CWSN Enrolment by Nature of Disability: Grade 3 - Speech Impairment
LOC3,CWSN Enrolment by Nature of Disability: Grade 3 - Locomotor Impairment
MEC3,CWSN Enrolment by Nature of Disability: Grade 3 - Mental Retardation
LEC3,CWSN Enrolment by Nature of Disability: Grade 3 - Learning Disability
CPC3,CWSN Enrolment by Nature of Disability: Grade 3 - Cerebral Palsy
AUC3,CWSN Enrolment by Nature of Disability: Grade 3 - Autism
MUC3,CWSN Enrolment by Nature of Disability: Grade 3 - Multiple
BLC4,CWSN Enrolment by Nature of Disability: Grade 4 - Blind
LVC4,CWSN Enrolment by Nature of Disability: Grade 4 - Low vision
HEC4,CWSN Enrolment by Nature of Disability: Grade 4 - Hearing Impairment
SPC4,CWSN Enrolment by Nature of Disability: Grade 4 - Speech Impairment
LOC4,CWSN Enrolment by Nature of Disability: Grade 4 - Locomotor Impairment
MEC4,CWSN Enrolment by Nature of Disability: Grade 4 - Mental Retardation
LEC4,CWSN Enrolment by Nature of Disability: Grade 4 - Learning Disability
CPC4,CWSN Enrolment by Nature of Disability: Grade 4 - Cerebral Palsy
AUC4,CWSN Enrolment by Nature of Disability: Grade 4 - Autism
MUC4,CWSN Enrolment by Nature of Disability: Grade 4 - Multiple
BLC5,CWSN Enrolment by Nature of Disability: Grade 5 - Blind
LVC5,CWSN Enrolment by Nature of Disability: Grade 5 - Low vision
HEC5,CWSN Enrolment by Nature of Disability: Grade 5 - Hearing Impairment
SPC5,CWSN Enrolment by Nature of Disability: Grade 5 - Speech Impairment
LOC5,CWSN Enrolment by Nature of Disability: Grade 5 - Locomotor Impairment
MEC5,CWSN Enrolment by Nature of Disability: Grade 5 - Mental Retardation
LEC5,CWSN Enrolment by Nature of Disability: Grade 5 - Learning Disability
CPC5,CWSN Enrolment by Nature of Disability: Grade 5 - Cerebral Palsy
AUC5,CWSN Enrolment by Nature of Disability: Grade 5 - Autism
MUC5,CWSN Enrolment by Nature of Disability: Grade 5 - Multiple
BLC6,CWSN Enrolment by Nature of Disability: Grade 6 - Blind
LVC6,CWSN Enrolment by Nature of Disability: Grade 6 - Low vision
HEC6,CWSN Enrolment by Nature of Disability: Grade 6 - Hearing Impairment
SPC6,CWSN Enrolment by Nature of Disability: Grade 6 - Speech Impairment
LOC6,CWSN Enrolment by Nature of Disability: Grade 6 - Locomotor Impairment
MEC6,CWSN Enrolment by Nature of Disability: Grade 6 - Mental Retardation
LEC6,CWSN Enrolment by Nature of Disability: Grade 6 - Learning Disability
CPC6,CWSN Enrolment by Nature of Disability: Grade 6 - Cerebral Palsy
AUC6,CWSN Enrolment by Nature of Disability: Grade 6 - Autism
MUC6,CWSN Enrolment by Nature of Disability: Grade 6 - Multiple
BLC7,CWSN Enrolment by Nature of Disability: Grade 7 - Blind
LVC7,CWSN Enrolment by Nature of Disability: Grade 7 - Low vision
HEC7,CWSN Enrolment by Nature of Disability: Grade 7 - Hearing Impairment
SPC7,CWSN Enrolment by Nature of Disability: Grade 7 - Speech Impairment
LOC7,CWSN Enrolment by Nature of Disability: Grade 7 - Locomotor Impairment
MEC7,CWSN Enrolment by Nature of Disability: Grade 7 - Mental Retardation
LEC7,CWSN Enrolment by Nature of Disability: Grade 7 - Learning Disability
CPC7,CWSN Enrolment by Nature of Disability: Grade 7 - Cerebral Palsy
AUC7,CWSN Enrolment by Nature of Disability: Grade 7 - Autism
MUC7,CWSN Enrolment by Nature of Disability: Grade 7 - Multiple
BLC8,CWSN Enrolment by Nature of Disability: Grade 8 - Blind
LVC8,CWSN Enrolment by Nature of Disability: Grade 8 - Low vision
HEC8,CWSN Enrolment by Nature of Disability: Grade 8 - Hearing Impairment
SPC8,CWSN Enrolment by Nature of Disability: Grade 8 - Speech Impairment
LOC8,CWSN Enrolment by Nature of Disability: Grade 8 - Locomotor Impairment
MEC8,CWSN Enrolment by Nature of Disability: Grade 8 - Mental Retardation
LEC8,CWSN Enrolment by Nature of Disability: Grade 8 - Learning Disability
CPC8,CWSN Enrolment by Nature of Disability: Grade 8 - Cerebral Palsy
AUC8,CWSN Enrolment by Nature of Disability: Grade 8 - Autism
MUC8,CWSN Enrolment by Nature of Disability: Grade 8 - Multiple
TOTCLGD1G,Total Classrooms by Condition: Good Condition - Primary Only
TOTCLGD2G,Total Classrooms by Condition: Good Condition - Primary with Upper Primary
TOTCLGD3G,Total Classrooms by Condition: Good Condition - Primary with upper Primary Sec/H.Sec
TOTCLGD4G,Total Classrooms by Condition: Good Condition - Upper Primary Only
TOTCLGD5G,Total Classrooms by Condition: Good Condition - Upper Primary with Sec./H.Sec
TOTCLGD6G,Total Classrooms by Condition: Good Condition - Primary with upper Primary Sec
TOTCLGD7G,Total Classrooms by Condition: Good Condition - Upper Primary with  Sec.
TOTCLMI1G,Total Classrooms by Condition: Need Minor Repair - Primary Only
TOTCLMI2G,Total Classrooms by Condition: Need Minor Repair - Primary with Upper Primary
TOTCLMI3G,Total Classrooms by Condition: Need Minor Repair - Primary with upper Primary Sec/H.Sec
TOTCLMI4G,Total Classrooms by Condition: Need Minor Repair - Upper Primary Only
TOTCLMI5G,Total Classrooms by Condition: Need Minor Repair - Upper Primary with Sec./H.Sec
TOTCLMI6G,Total Classrooms by Condition: Need Minor Repair - Primary with upper Primary Sec
TOTCLMI7G,Total Classrooms by Condition: Need Minor Repair - Upper Primary with  Sec.
TOTCLMJ1G,Total Classrooms by Condition: Need Major Repair - Primary Only
TOTCLMJ2G,Total Classrooms by Condition: Need Major Repair - Primary with Upper Primary
TOTCLMJ3G,Total Classrooms by Condition: Need Major Repair - Primary with upper Primary Sec/H.Sec
TOTCLMJ4G,Total Classrooms by Condition: Need Major Repair - Upper Primary Only
TOTCLMJ5G,Total Classrooms by Condition: Need Major Repair - Upper Primary with Sec./H.Sec
TOTCLMJ6G,Total Classrooms by Condition: Need Major Repair - Primary with upper Primary Sec
TOTCLMJ7G,Total Classrooms by Condition: Need Major Repair - Upper Primary with  Sec.
TOTCLOT1G,Other Rooms: Primary Only - Primary Only
TOTCLOT2G,Other Rooms: Primary with Upper Primary - Primary with Upper Primary
TOTCLOT3G,Other Rooms: Primary with upper Primary Sec/H.Sec - Primary with upper Primary Sec/H.Sec
TOTCLOT4G,Other Rooms: Upper Primary Only - Upper Primary Only
TOTCLOT5G,Other Rooms: Upper Primary with Sec./H.Sec - Upper Primary with Sec./H.Sec
TOTCLOT6G,Other Rooms: Primary with upper Primary Sec - Primary with upper Primary Sec
TOTCLOT7G,Other Rooms: Upper Primary with  Sec. - Upper Primary with  Sec.
TCHBS1,Teachers by Educational Qualification: Below Secondary - Primary Only
TCHBS2,Teachers by Educational Qualification: Below Secondary - Primary with Upper Primary
TCHBS3,Teachers by Educational Qualification: Below Secondary - Primary with upper Primary Sec/H.Sec
TCHBS4,Teachers by Educational Qualification: Below Secondary - Upper Primary Only
TCHBS5,Teachers by Educational Qualification: Below Secondary - Upper Primary with Sec./H.Sec
TCHBS6,Teachers by Educational Qualification: Below Secondary - Primary with upper Primary Sec
TCHBS7,Teachers by Educational Qualification: Below Secondary - Upper Primary with  Sec.
TCHSEC1,Teachers by Educational Qualification:  Secondary - Primary Only
TCHSEC2,Teachers by Educational Qualification:  Secondary - Primary with Upper Primary
TCHSEC3,Teachers by Educational Qualification:  Secondary - Primary with upper Primary Sec/H.Sec
TCHSEC4,Teachers by Educational Qualification:  Secondary - Upper Primary Only
TCHSEC5,Teachers by Educational Qualification:  Secondary - Upper Primary with Sec./H.Sec
TCHSEC6,Teachers by Educational Qualification:  Secondary - Primary with upper Primary Sec
TCHSEC7,Teachers by Educational Qualification:  Secondary - Upper Primary with  Sec.
TCHHS1,Teachers by Educational Qualification: Higher  Secondary - Primary Only
TCHHS2,Teachers by Educational Qualification: Higher  Secondary - Primary with Upper Primary
TCHHS3,Teachers by Educational Qualification: Higher  Secondary - Primary with upper Primary Sec/H.Sec
TCHHS4,Teachers by Educational Qualification: Higher  Secondary - Upper Primary Only
TCHHS5,Teachers by Educational Qualification: Higher  Secondary - Upper Primary with Sec./H.Sec
TCHHS6,Teachers by Educational Qualification: Higher  Secondary - Primary with upper Primary Sec
TCHHS7,Teachers by Educational Qualification: Higher  Secondary - Upper Primary with  Sec.
TCHGD1,Teachers by Educational Qualification: Graduate - Primary Only
TCHGD2,Teachers by Educational Qualification: Graduate - Primary with Upper Primary
TCHGD3,Teachers by Educational Qualification: Graduate - Primary with upper Primary Sec/H.Sec
TCHGD4,Teachers by Educational Qualification: Graduate - Upper Primary Only
TCHGD5,Teachers by Educational Qualification: Graduate - Upper Primary with Sec./H.Sec
TCHGD6,Teachers by Educational Qualification: Graduate - Primary with upper Primary Sec
TCHGD7,Teachers by Educational Qualification: Graduate - Upper Primary with  Sec.
TCHPG1,Teachers by Educational Qualification: Post Graduate - Primary Only
TCHPG2,Teachers by Educational Qualification: Post Graduate - Primary with Upper Primary
TCHPG3,Teachers by Educational Qualification: Post Graduate - Primary with upper Primary Sec/H.Sec
TCHPG4,Teachers by Educational Qualification: Post Graduate - Upper Primary Only
TCHPG5,Teachers by Educational Qualification: Post Graduate - Upper Primary with Sec./H.Sec
TCHPG6,Teachers by Educational Qualification: Post Graduate - Primary with upper Primary Sec
TCHPG7,Teachers by Educational Qualification: Post Graduate - Upper Primary with  Sec.
TCHMD1,Teachers by Educational Qualification: M phil./ Ph.D - Primary Only
TCHMD2,Teachers by Educational Qualification: M phil./ Ph.D - Primary with Upper Primary
TCHMD3,Teachers by Educational Qualification: M phil./ Ph.D - Primary with upper Primary Sec/H.Sec
TCHMD4,Teachers by Educational Qualification: M phil./ Ph.D - Upper Primary Only
TCHMD5,Teachers by Educational Qualification: M phil./ Ph.D - Upper Primary with Sec./H.Sec
TCHMD6,Teachers by Educational Qualification: M phil./ Ph.D - Primary with upper Primary Sec
TCHMD7,Teachers by Educational Qualification: M phil./ Ph.D - Upper Primary with  Sec.
TCHPD1,Teachers by Educational Qualification: Post Doctorate - Primary Only
TCHPD2,Teachers by Educational Qualification: Post Doctorate - Primary with Upper Primary
TCHPD3,Teachers by Educational Qualification: Post Doctorate - Primary with upper Primary Sec/H.Sec
TCHPD4,Teachers by Educational Qualification: Post Doctorate - Upper Primary Only
TCHPD5,Teachers by Educational Qualification: Post Doctorate - Upper Primary with Sec./H.Sec
TCHPD6,Teachers by Educational Qualification: Post Doctorate - Primary with upper Primary Sec
TCHPD7,Teachers by Educational Qualification: Post Doctorate - Upper Primary with  Sec.
TCHNR1,Teachers by Educational Qualification: No Response in Academic Qualification - Primary Only
TCHNR2,Teachers by Educational Qualification: No Response in Academic Qualification - Primary with Upper Primary
TCHNR3,Teachers by Educational Qualification: No Response in Academic Qualification - Primary with upper Primary Sec/H.Sec
TCHNR4,Teachers by Educational Qualification: No Response in Academic Qualification - Upper Primary Only
TCHNR5,Teachers by Educational Qualification: No Response in Academic Qualification - Upper Primary with Sec./H.Sec
TCHNR6,Teachers by Educational Qualification: No Response in Academic Qualification - Primary with upper Primary Sec
TCHNR7,Teachers by Educational Qualification: No Response in Academic Qualification - Upper Primary with  Sec.
TCHCON1,Contractual Teachers by Qualification: Below Secondary - Below Secondary
TCHCON2,Contractual Teachers by Qualification: Below Secondary -  Secondary
TCHCON3,Contractual Teachers by Qualification: Below Secondary -  Higher Secondary
TCHCON4,Contractual Teachers by Qualification: Below Secondary - Graduate
TCHCON5,Contractual Teachers by Qualification: Below Secondary - Post Graduate
TCHCON67,Contractual Teachers by Qualification: Below Secondary - M Phil./ Ph.D.
TCHCON8,Contractual Teachers by Qualification: Below Secondary - Post Doctorate
TCHCON9,Contractual Teachers by Qualification:  - No Response
TCHM1,Regular Teachers by Gender: Male - Primary Only
TCHM2,Regular Teachers by Gender: Male - Primary with Upper Primary
TCHM3,Regular Teachers by Gender: Male - Primary with upper Primary Sec/H.Sec
TCHM4,Regular Teachers by Gender: Male - Upper Primary Only
TCHM5,Regular Teachers by Gender: Male - Upper Primary with Sec./H.Sec
TCHM6,Regular Teachers by Gender: Male - Primary with upper Primary Sec
TCHM7,Regular Teachers by Gender: Male - Upper Primary with  Sec.
TCHF1,Regular Teachers by Gender: Female - Primary Only
TCHF2,Regular Teachers by Gender: Female - Primary with Upper Primary
TCHF3,Regular Teachers by Gender: Female - Primary with upper Primary Sec/H.Sec
TCHF4,Regular Teachers by Gender: Female - Upper Primary Only
TCHF5,Regular Teachers by Gender: Female - Upper Primary with Sec./H.Sec
TCHF6,Regular Teachers by Gender: Female - Primary with upper Primary Sec
TCHF7,Regular Teachers by Gender: Female - Upper Primary with  Sec.
TCHN1,Regular Teachers by Gender: No Response - Primary Only
TCHN2,Regular Teachers by Gender: No Response - Primary with Upper Primary
TCHN3,Regular Teachers by Gender: No Response - Primary with upper Primary Sec/H.Sec
TCHN4,Regular Teachers by Gender: No Response - Upper Primary Only
TCHN5,Regular Teachers by Gender: No Response - Upper Primary with Sec./H.Sec
TCHN6,Regular Teachers by Gender: No Response - Primary with upper Primary Sec
TCHN7,Regular Teachers by Gender: No Response - Upper Primary with  Sec.
TCHCM1,Conractual  Teachers by Gender: Male - Primary Only
TCHCM2,Conractual  Teachers by Gender: Male - Primary with Upper Primary
TCHCM3,Conractual  Teachers by Gender: Male - Primary with upper Primary Sec/H.Sec
TCHCM4,Conractual  Teachers by Gender: Male - Upper Primary Only
TCHCM5,Conractual  Teachers by Gender: Male - Upper Primary with Sec./H.Sec
TCHCM6,Conractual  Teachers by Gender: Male - Primary with upper Primary Sec
TCHCM7,Conractual  Teachers by Gender: Male - Upper Primary with  Sec.
TCHCF1,Conractual  Teachers by Gender: Female - Primary Only
TCHCF2,Conractual  Teachers by Gender: Female - Primary with Upper Primary
TCHCF3,Conractual  Teachers by Gender: Female - Primary with upper Primary Sec/H.Sec
TCHCF4,Conractual  Teachers by Gender: Female - Upper Primary Only
TCHCF5,Conractual  Teachers by Gender: Female - Upper Primary with Sec./H.Sec
TCHCF6,Conractual  Teachers by Gender: Female - Primary with upper Primary Sec
TCHCF7,Conractual  Teachers by Gender: Female - Upper Primary with  Sec.
TCHCN1,Conractual  Teachers by Gender: No Response - Primary Only
TCHCN2,Conractual  Teachers by Gender: No Response - Primary with Upper Primary
TCHCN3,Conractual  Teachers by Gender: No Response - Primary with upper Primary Sec/H.Sec
TCHCN4,Conractual  Teachers by Gender: No Response - Upper Primary Only
TCHCN5,Conractual  Teachers by Gender: No Response - Upper Primary with Sec./H.Sec
TCHCN6,Conractual  Teachers by Gender: No Response - Primary with upper Primary Sec
TCHCN7,Conractual  Teachers by Gender: No Response - Upper Primary with  Sec.
TLM_R1,Schools Received TLM Grant: Primary Only - Primary Only
TLM_R2,Schools Received TLM Grant: Primary with Upper Primary - Primary with Upper Primary
TLM_R3,Schools Received TLM Grant: Primary with upper Primary Sec/H.Sec - Primary with upper Primary Sec/H.Sec
TLM_R4,Schools Received TLM Grant: Upper Primary Only - Upper Primary Only
TLM_R5,Schools Received TLM Grant: Upper Primary with Sec./H.Sec - Upper Primary with Sec./H.Sec
TLM_R6,Schools Received TLM Grant: Primary with upper Primary Sec - Primary with upper Primary Sec
TLM_R7,Schools Received TLM Grant: Upper Primary with  Sec. - Upper Primary with  Sec.
CONTI_R1,Schools Received School Development Grant: Primary Only - Primary Only
CONTI_R2,Schools Received School Development Grant: Primary with Upper Primary - Primary with Upper Primary
CONTI_R3,Schools Received School Development Grant: Primary with upper Primary Sec/H.Sec - Primary with upper Primary Sec/H.Sec
CONTI_R4,Schools Received School Development Grant: Upper Primary Only - Upper Primary Only
CONTI_R5,Schools Received School Development Grant: Upper Primary with Sec./H.Sec - Upper Primary with Sec./H.Sec
CONTI_R6,Schools Received School Development Grant: Primary with upper Primary Sec - Primary with upper Primary Sec
CONTI_R7,Schools Received School Development Grant: Upper Primary with  Sec. - Upper Primary with  Sec.
TLME,Grants: TLM - Expended
TLMR,Grants: TLM - Received
CONTIE,Grants: School Development - Expended
CONTIR,Grants: School Development - Received
PIDAY30,Instructional Days: Primary - Sum of instructional days
PIDAYSCH,Instructional Days: Primary - number of schools given instructional days
UIDAY35,Instructional Days: Upper Primary - Sum of instructional days
UIDAYSCH,Instructional Days: Upper Primary - number of schools given instructional days
M1,Medium of Instruction: Mediums of instructions - Medium 1
M2,Medium of Instruction: Mediums of instructions - Medium 2
M3,Medium of Instruction: Mediums of instructions - Medium 3
M4,Medium of Instruction: Mediums of instructions - Medium 4
M5,Medium of Instruction: Mediums of instructions - Medium 5
ENRE11,Medium of Instruction: Enrolment in Medium 1 - Primary Only
ENRE12,Medium of Instruction: Enrolment in Medium 1 - Primary with Upper Primary
ENRE13,Medium of Instruction: Enrolment in Medium 1 - Primary with upper Primary Sec/H.Sec
ENRE14,Medium of Instruction: Enrolment in Medium 1 - Upper Primary Only
ENRE15,Medium of Instruction: Enrolment in Medium 1 - Upper Primary with Sec./H.Sec
ENRE16,Medium of Instruction: Enrolment in Medium 1 - Primary with upper Primary Sec
ENRE17,Medium of Instruction: Enrolment in Medium 1 - Upper Primary with  Sec.
ENRE21,Medium of Instruction: Enrolment in Medium 2 - Primary Only
ENRE22,Medium of Instruction: Enrolment in Medium 2 - Primary with Upper Primary
ENRE23,Medium of Instruction: Enrolment in Medium 2 - Primary with upper Primary Sec/H.Sec
ENRE24,Medium of Instruction: Enrolment in Medium 2 - Upper Primary Only
ENRE25,Medium of Instruction: Enrolment in Medium 2 - Upper Primary with Sec./H.Sec
ENRE26,Medium of Instruction: Enrolment in Medium 2 - Primary with upper Primary Sec
ENRE27,Medium of Instruction: Enrolment in Medium 2 - Upper Primary with  Sec.
ENRE31,Medium of Instruction: Enrolment in Medium 3 - Primary Only
ENRE32,Medium of Instruction: Enrolment in Medium 3 - Primary with Upper Primary
ENRE33,Medium of Instruction: Enrolment in Medium 3 - Primary with upper Primary Sec/H.Sec
ENRE34,Medium of Instruction: Enrolment in Medium 3 - Upper Primary Only
ENRE35,Medium of Instruction: Enrolment in Medium 3 - Upper Primary with Sec./H.Sec
ENRE36,Medium of Instruction: Enrolment in Medium 3 - Primary with upper Primary Sec
ENRE37,Medium of Instruction: Enrolment in Medium 3 - Upper Primary with  Sec.
ENRE41,Medium of Instruction: Enrolment in Medium 4 - Primary Only
ENRE42,Medium of Instruction: Enrolment in Medium 4 - Primary with Upper Primary
ENRE43,Medium of Instruction: Enrolment in Medium 4 - Primary with upper Primary Sec/H.Sec
ENRE44,Medium of Instruction: Enrolment in Medium 4 - Upper Primary Only
ENRE45,Medium of Instruction: Enrolment in Medium 4 - Upper Primary with Sec./H.Sec
ENRE46,Medium of Instruction: Enrolment in Medium 4 - Primary with upper Primary Sec
ENRE47,Medium of Instruction: Enrolment in Medium 4 - Upper Primary with  Sec.
ENRE51,Medium of Instruction: Enrolment in Medium 5 - Primary Only
ENRE52,Medium of Instruction: Enrolment in Medium 5 - Primary with Upper Primary
ENRE53,Medium of Instruction: Enrolment in Medium 5 - Primary with upper Primary Sec/H.Sec
ENRE54,Medium of Instruction: Enrolment in Medium 5 - Upper Primary Only
ENRE55,Medium of Instruction: Enrolment in Medium 5 - Upper Primary with Sec./H.Sec
ENRE56,Medium of Instruction: Enrolment in Medium 5 - Primary with upper Primary Sec
ENRE57,Medium of Instruction: Enrolment in Medium 5 - Upper Primary with  Sec.
PTXT_ALL,Incentives Primary: TextBook - All 
PTXT_SC,Incentives Primary: TextBook - SC
PTXT_ST,Incentives Primary: TextBook - ST
PUNI_ALL,Incentives Primary: Uniform - All 
PUNI_SC,Incentives Primary: Uniform - SC
PUNI_ST,Incentives Primary: Uniform - ST
UTXT_ALL,Incentives Upper Primary: TextBook - All 
UTXT_SC,Incentives Upper Primary: TextBook - SC
UTXT_ST,Incentives Upper Primary: TextBook - ST
UUNI_ALL,Incentives Upper Primary: Uniform - All 
UUNI_SC,Incentives Upper Primary: Uniform - SC
UUNI_ST,Incentives Upper Primary: Uniform - ST
TCH_5556M,Teachers by Age: Between 55-56 - Male
TCH_5556F,Teachers by Age: Between 55-56 - Female
TCH_5556T,Teachers by Age: Between 55-56 - Total
TCH_5758M,Teachers by Age: Between 57-58 - Male
TCH_5758F,Teachers by Age: Between 57-58 - Female
TCH_5758T,Teachers by Age: Between 57-58 - Total
TCH_5960M,Teachers by Age: Between 59-60 - Male
TCH_5960F,Teachers by Age: Between 59-60 - Female
TCH_5960T,Teachers by Age: Between 59-60 - Total
PPTR30,Schools with PTR: Above 30 - Primary Level
UPTR35,Schools with PTR: Above 35 - Upper Primary
PSCR30,Schools with SCR: Above 30 - Primary Level
USCR35,Schools with SCR: Above 35 - Upper Primary
NOTCH_ASS,Non-Teaching Assignment: Total Days - Total Days
TCHINV,Non-Teaching Assignment: Total Teachers involved - Total Teachers involved
TOTCLS1G,Total Classrooms: Primary Only - Primary Only
TOTCLS2G,Total Classrooms: Primary with Upper Primary - Primary with Upper Primary
TOTCLS3G,Total Classrooms: Primary with upper Primary Sec/H.Sec - Primary with upper Primary Sec/H.Sec
TOTCLS4G,Total Classrooms: Upper Primary Only - Upper Primary Only
TOTCLS5G,Total Classrooms: Upper Primary with Sec./H.Sec - Upper Primary with Sec./H.Sec
TOTCLS6G,Total Classrooms: Primary with upper Primary Sec - Primary with upper Primary Sec
TOTCLS7G,Total Classrooms: Upper Primary with  Sec. - Upper Primary with  Sec.
